,Unnamed: 0,Task,Domain,Problem,Plan,Domain len,Problem len,Plan len
10,282,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-8) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) ) ) )   ,move p1 p1 (1) move p1 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1),202,218,119
11,283,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-9) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) ) ) )   ,move p1 p1 (1) move p1 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,234,134
12,284,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-10) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) (visited p10) ) ) )   ,move p1 p1 (1) move p1 p10 (1) move p10 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,253,151
13,285,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-11) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) (visited p10) (visited p11) ) ) )   ,move p1 p1 (1) move p1 p10 (1) move p10 p11 (1) move p11 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,271,168
14,286,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-12) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) (visited p10) (visited p11) (visited p12) ) ) )   ,move p1 p1 (1) move p1 p10 (1) move p10 p11 (1) move p11 p12 (1) move p12 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,289,185
15,287,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-13) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) (visited p10) (visited p11) (visited p12) (visited p13) ) ) )   ,move p1 p1 (1) move p1 p10 (1) move p10 p11 (1) move p11 p12 (1) move p12 p13 (1) move p13 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,307,202
16,288,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-14) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) (visited p10) (visited p11) (visited p12) (visited p13) (visited p14) ) ) )   ,move p1 p1 (1) move p1 p10 (1) move p10 p11 (1) move p11 p12 (1) move p12 p13 (1) move p13 p14 (1) move p14 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,325,219
17,289,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-15) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) (visited p10) (visited p11) (visited p12) (visited p13) (visited p14) (visited p15) ) ) )   ,move p1 p1 (1) move p1 p10 (1) move p10 p11 (1) move p11 p12 (1) move p12 p13 (1) move p13 p14 (1) move p14 p15 (1) move p15 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,343,236
18,290,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-16) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) (visited p10) (visited p11) (visited p12) (visited p13) (visited p14) (visited p15) (visited p16) ) ) )   ,move p1 p1 (1) move p1 p10 (1) move p10 p11 (1) move p11 p12 (1) move p12 p13 (1) move p13 p14 (1) move p14 p15 (1) move p15 p16 (1) move p16 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,361,253
19,291,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-17) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) (visited p10) (visited p11) (visited p12) (visited p13) (visited p14) (visited p15) (visited p16) (visited p17) ) ) )   ,move p1 p1 (1) move p1 p10 (1) move p10 p11 (1) move p11 p12 (1) move p12 p13 (1) move p13 p14 (1) move p14 p15 (1) move p15 p16 (1) move p16 p17 (1) move p17 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,379,270
20,292,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-18) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 p18 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) (visited p10) (visited p11) (visited p12) (visited p13) (visited p14) (visited p15) (visited p16) (visited p17) (visited p18) ) ) )   ,move p1 p1 (1) move p1 p10 (1) move p10 p11 (1) move p11 p12 (1) move p12 p13 (1) move p13 p14 (1) move p14 p15 (1) move p15 p16 (1) move p16 p17 (1) move p17 p18 (1) move p18 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,397,287
21,293,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-19) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 p18 p19 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) (visited p10) (visited p11) (visited p12) (visited p13) (visited p14) (visited p15) (visited p16) (visited p17) (visited p18) (visited p19) ) ) )   ,move p1 p1 (1) move p1 p10 (1) move p10 p11 (1) move p11 p12 (1) move p12 p13 (1) move p13 p14 (1) move p14 p15 (1) move p15 p16 (1) move p16 p17 (1) move p17 p18 (1) move p18 p19 (1) move p19 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,415,304
22,294,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-20) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 p18 p19 p20 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) (visited p8) (visited p9) (visited p10) (visited p11) (visited p12) (visited p13) (visited p14) (visited p15) (visited p16) (visited p17) (visited p18) (visited p19) (visited p20) ) ) )   ,move p1 p1 (1) move p1 p10 (1) move p10 p11 (1) move p11 p12 (1) move p12 p13 (1) move p13 p14 (1) move p14 p15 (1) move p15 p16 (1) move p16 p17 (1) move p17 p18 (1) move p18 p19 (1) move p19 p2 (1) move p2 p20 (1) move p20 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1) move p7 p8 (1) move p8 p9 (1),202,433,321
